,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,91,92,93,94,95,96,97,98,99,100,101,102,103,106,107,108,109,110,111,112,113,114,115,116,120
OTRO,901145808-5,19195,1,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,1,,,,Ninguna de las anteriores,Regular,Bueno,Regular,Bueno,,,,,,,,,1,1,,1,,De mejoramiento-Estructura,20%,,1,,,,,,,,120
OTRO,901145808-5,19196,1,,,,,,,,,,,,,,,,,,1,Malo,No apreciable,Bueno,,,,,,,,,,,,,,,1,,1,,,,,,Ninguna de las anteriores,Regular,Bueno,Regular,Bueno,,,,,,,,,1,1,,1,,De mejoramiento-Estructura,20%,,1,,,,,,,,130
OTRO,901145808-5,19197,,,,1,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,1,,Realce,20%,,,,,,1,,,,170
OTRO,901145808-5,19198,,,,,,,1,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,1,,1,1,,,,De mejoramiento-Estructura,20%,,1,,,,,,,,50
OTRO,901145808-5,19199,1,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,20%,,1,,,,,,,,60
OTRO,901145808-5,19200,,,,,,,1,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,1,,De mejoramiento-Estructura,15%,,,,,,1,,,,150
OTRO,901145808-5,19201,1,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,1,,De mejoramiento-Estructura,15%,,,,,,1,,,,160
OTRO,901145808-5,19202,1,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,140
OTRO,901145808-5,19203,1,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,120
OTRO,901145808-5,19204,1,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,1,,De mejoramiento-Estructura,15%,,,,,,1,,,,150
OTRO,901145808-5,19205,,,,1,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,1,,De mejoramiento-Estructura,20%,,,,,,1,,,,160
OTRO,901145808-5,19206,,,,1,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,1,,De mejoramiento-Estructura,15%,,,,,,1,,,,150
OTRO,901145808-5,19207,,,,,1,,1,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,,,1,,,,,,25
OTRO,901145808-5,19208,,,,1,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,1,,De mejoramiento-Estructura,15%,,1,,,,,,,,130
OTRO,901145808-5,19209,,,,,1,,1,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,1,,,,,,,,1,Ninguna de las anteriores,Regular,Regular,Bueno,Bueno,,,,,,,1,,1,1,,1,,De mejoramiento-Estructura,20%,,,,,,1,,,,150
OTRO,901145808-5,19210,,,,1,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,1,,De mejoramiento-Estructura,15%,,,,,,1,,,,150
OTRO,901145808-5,19211,1,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,1,,De mejoramiento-Estructura,20%,,,,,,1,,,,160
OTRO,901145808-5,19212,1,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,1,,De mejoramiento-Estructura,20%,,,,,,1,,,,160
OTRO,901145808-5,19213,1,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,1,,,,Ninguna de las anteriores,Regular,Bueno,Regular,Bueno,,,,,,,,,1,1,,1,,De mejoramiento-Estructura,20%,,1,,,,,,,,130
OTRO,901145808-5,19214,1,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,1,,,,Ninguna de las anteriores,Regular,Bueno,Regular,Bueno,,,,,,,,,1,1,,1,,De mejoramiento-Estructura,20%,,1,,,,,,,,140
OTRO,901145808-5,19215,1,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,1,,,,Ninguna de las anteriores,Regular,Bueno,Regular,Bueno,1,,,,,,,,1,1,,1,,De mejoramiento-Estructura,20%,,,,,,1,1,,,150
OTRO,901145808-5,19216,,,,,,,1,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,1,,De mejoramiento-Estructura,20%,,,,,,1,,,,150
OTRO,901145808-5,19217,,,,1,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,1,,De mejoramiento-Estructura,15%,,,,,,1,,,,150
OTRO,901145808-5,19218,,,,1,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,1,,,,,,,,1,Ninguna de las anteriores,Regular,Regular,Bueno,Bueno,,,,,,,,,1,1,,1,,De mejoramiento-Estructura,15%,,1,,,,,,,,140
OTRO,901145808-5,19219,1,,,,,,1,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,1,,,,Ninguna de las anteriores,Regular,Bueno,Regular,Bueno,,,,,,,,,1,1,,1,,De mejoramiento-Estructura,20%,,1,,,,,,,,120
OTRO,901145808-5,19220,1,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,1,,,,,,,,,,,,1,Ninguna de las anteriores,Regular,Regular,Bueno,Bueno,,,,,,,,,1,1,,1,,De mejoramiento-Estructura,20%,,,,,,1,,,,180
OTRO,901145808-5,19221,,,,1,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,1,,,,,,,,1,Ninguna de las anteriores,Regular,Regular,Bueno,Bueno,,,,,,,,,1,1,,1,,De mejoramiento-Estructura,15%,,1,,,,,,,,140
OTRO,901145808-5,19222,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,Bueno,No apreciable,Bueno,1,1,1,1,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,1,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19223,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19224,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19225,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19226,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19227,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19228,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19229,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19230,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19231,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19232,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19233,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19234,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19235,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19236,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19237,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19238,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19239,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19240,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19241,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19242,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19243,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19244,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19245,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19246,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19247,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19248,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19249,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19250,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19251,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19252,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19253,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19254,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19255,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19256,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19257,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19258,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19259,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19260,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19261,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19262,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19263,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19264,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19265,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19266,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19267,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19268,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19269,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19270,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
OTRO,901145808-5,19271,,,,,,,,,,,,,,,,,,,,Bueno,No apreciable,Bueno,,,,,,,,,,,,,,,1,,,,,,,1,Ninguna de las anteriores,Bueno,Bueno,Bueno,Bueno,,,,,,,,,1,1,,,,De mejoramiento-Estructura,15%,,1,,,,,,,,30
